,CAN_DEFAULT,DEFAULT,DESCRIPTION,FORMAT,HI,HI-HI,LOW,LOW-LOW,UNIT_KEY,UNITS
STATE SCL VP2,Yes,6.54448,Second vapor pressure of the fluid,2,1723.68,3447.37,0,0,ABSOLUTE.PRESSURE,KPAA
STATE SCL VPMI,Yes,0,Pressure coefficient of viscosity,2,1.45038e+21,1.45038e+21,-1.45038e+21,-1.45038e+21,INVERSEDELTAP,1/KPA
STATE SCL VTMI,Yes,-0.027,Temperature coefficient of viscosity,2,0,0,-1.8e+22,-1.8e+22,INVERSEDELTAT,1/DC
STATE TABLE DENS,No,999.552,Density,2,1121.29,1281.48,800.923,640.739,DENSITY,KG/M3
STATE TABLE PRES,No,0,Pressure,2,10342.1,17236.8,0,-96.5263,PRESSURE,KPAG
STATE TABLE SPH,Yes,1,Specific heat (heat capacity relative to water),2,2,3,0.5,0.1,NONE,
STATE TABLE TEMP,No,-17.7778,Temperature,2,48.8889,93.3333,-17.7778,-40,TEMPERATURE,DC
STATE TABLE VISC,Yes,1,Viscosity,2,500,1000,0.5,0.1,VISCOSITY,CP
STATE TABLE VP,Yes,6.89473,Vapor Pressure,2,137.895,689.473,6.89473,0,ABSOLUTE.PRESSURE,KPAA
T * AMP,Yes,1,Area multiplier (number of identical parallel lines),2,5,20,0.9,0.01,NONE,
T * DRAD,Yes,0,DRA Degradation Coefficient,2,0.0984252,0.328084,0,0,INVERSE.PIPE.LENGTH,1/KM
T * EE,Yes,9.144,Maximum vertical distance batch interfaces could be misaligned,2,304.8,1609.34,0,0,ELEVATION,M
T * EFF,Yes,1,Pipe efficiency,2,1,1,0.1,0.01,NONE,
T * ELEV,Yes,0,Elevation,2,2377.44,3048,-50,-76.2,ELEVATION,M
T * FF,Yes,0.013,Moody friction factor,2,0.05,0.1,0.01,0.008,NONE,
T * FILL.CP,Yes,0.795455,Pipe FILL heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
T * FILL.DENS,Yes,1649.9,Pipe FILL density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
T * FILL.K,Yes,0.934545,Pipe FILL thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
T * FILL.KNOT,Yes,0,FILL thermal knots,,50,100,0,0,NONE,
T * FILL.THIK,Yes,0,Pipe FILL thickness,2,1270,2540,0,0,WALL,MM
T * GRND.BDEP,Yes,1219.2,Pipe burial depth,2,2000,2540,0,0,WALL,MM
T * GRND.CP,Yes,0.795455,Pipe GRND heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
T * GRND.DENS,Yes,1649.9,Pipe GRND density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
T * GRND.K,Yes,0.934545,Pipe GRND thermal conductivity,2,186.909,1246.06,0,0,HEAT.COND,KJ/HR-M-DC
T * GRND.KNOT,Yes,5,GRND thermal knots,,50,100,0,0,NONE,
T * GRND.THIK,Yes,1219.2,Pipe GRND thickness,2,4000,6000,0,0,WALL,MM
T * KS,Yes,0,Knot spacing (ADVANCED),2,16.0934,32.1869,0.0160934,0.00160934,LENGTH.PIPE,KM
T * LEN,No,16.0934,Pipe length,2,150,321.869,0.05,0.0160934,LENGTH.PIPE,KM
T * MODULUS,Yes,199.947,Young's Modulus,2,241.316,482.631,0.689473,0.0689473,TENSILE.STRESS,GPA
T * OD,No,508,Outside diameter,2,1219.2,1524,101.6,57.15,DIAMETER,MM
T * P+,Yes,0,Downstream pressure used to back-calculate roughness or friction factor,2,8273.68,10342.1,68.9473,0,PRESSURE,KPAG
T * P-,Yes,0,Upstream pressure used to back-calculate roughness or friction factor,2,8273.68,10342.1,68.9473,0,PRESSURE,KPAG
T * Q,Yes,0,Flow used to back-calculate roughness or friction factor (negative if flowing upstream),2,6.62447e+10,1.32489e+11,-6.62447e+10,-1.32489e+11,FLOW,M3/HR
T * RUF,Yes,0.0457,Colebrook or Nikuradse roughness,2,0.254,12.7,0.00762,0.000254,ROUGHNESS,MM
T * SVB,Yes,0,Volume of diagnostic flow to be excused due to inaccuracies in modeling slack line flow,2,158.987,1589.87,0,0,VOLUME,M3
T * T+,Yes,8,Initial fluid temperature at downstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
T * T-,Yes,8,Initial fluid temperature at upstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
T * WALL.CP,Yes,0.460528,Pipe WALL heat capacity,2,8.3732,16.7464,0.041866,0,HEAT.CAPACITY,KJ/KG-DC
T * WALL.DENS,Yes,7849.05,Pipe WALL density,2,16018.5,32036.9,80.0923,0,DENSITY,KG/M3
T * WALL.K,Yes,161.988,Pipe WALL thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
T * WALL.KNOT,Yes,2,WALL thermal knots,,50,100,0,0,NONE,
T * WRAP.CP,Yes,1.04665,Pipe WRAP heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
T * WRAP.DENS,Yes,576.665,Pipe WRAP density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
T * WRAP.K,Yes,0.542036,Pipe WRAP thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
T * WRAP.KNOT,Yes,0,WRAP thermal knots,,50,100,0,0,NONE,
T * WRAP.THIK,Yes,0,Pipe WRAP thickness,2,1270,2540,0,0,WALL,MM
T * WT,No,12.7,Wall thickness,2,25.4,31.75,5.08,2.54,WALL,MM
THERMAL * TEMP,Yes,21.1111,Temperature,2,65.5556,121.111,-17.7778,-45.5556,TEMPERATURE,DC
TK * CVIN,Yes,3800,Inlet valve coefficient,2,100000,100000,0,0,VALVE.COEFF,GAL/MIN-PSI.5
TK * CVOUT,Yes,5200,Outlet valve coefficient,2,100000,100000,0,0,VALVE.COEFF,GAL/MIN-PSI.5
TK * ELEV,Yes,0,Elevation,2,2377.44,3048,0,-76.2,ELEVATION,M
TK * HI,Yes,6359.49,Nominal full volume,2,23848.1,63594.9,0.0158987,0.0158987,VOLUME,M3
TK * HIHI,Yes,6359.49,Total volume,2,23848.1,63594.9,0.0158987,0.0158987,VOLUME,M3
TK * HT,Yes,12.192,Maximum fluid level,2,15.24,60.96,0.3048,0.003048,ELEVATION,M
TK * INIT_VOL,Yes,0,Initial volume,2,23848.1,63594.9,0,0,VOLUME,M3
TK * LO,Yes,0,Nominal empty volume,2,23848.1,63594.9,0,0,VOLUME,M3
TK * LOLO,Yes,0,Minimum accessible volume,2,23848.1,63594.9,0,0,VOLUME,M3
TK * ROOF,Yes,0,Roof pressure,2,34.4737,344.737,0,0,DELTA.PRES,KPA
TK * T,Yes,20,Temperature,2,37.7778,93.3333,3.19744e-14,-17.7778,TEMPERATURE,DC
TRANSTHERMAL * AC,Yes,0.023,Scale coefficient in Colburn term,2,1,1,0,0,NONE,
TRANSTHERMAL * AG,Yes,1,Scale coeff. in laminar term,2,1,1,0,0,NONE,
TRANSTHERMAL * BC,Yes,0.8,Reynolds number exponent in Colburn term,2,1,1,0,0,NONE,
TRANSTHERMAL * BG1,Yes,0.14,Viscocity ratio exponent for heating,2,1,1,0,0,NONE,
TRANSTHERMAL * BG2,Yes,0.14,Viscocity ratio exponent for cooling,2,1,1,0,0,NONE,
TRANSTHERMAL * CC,Yes,0.333333,Prandtl number exponent in Colburn term,2,1,1,0,0,NONE,
TRANSTHERMAL * CG,Yes,0,Scale coeff. representing effective d/L value,2,1,1,0,0,NONE,
TRANSTHERMAL * DG,Yes,1,Reynolds x Prandtl number exponent in Grashof term,2,1,1,0,0,NONE,
TRANSTHERMAL * EG,Yes,0.01,Coeff in laminar term,2,1,1,0,0,NONE,
TRANSTHERMAL * FG,Yes,0.75,Exponent of Grashof x Prandtl number,2,1,1,0,0,NONE,
TRANSTHERMAL * GG,Yes,0,Exponent of d/L,2,1,1,0,0,NONE,
TRANSTHERMAL * HCOND,Yes,2.13699,Thermal conductivity of fluid,2,6.2303,6.2303,0,0,HEAT.COND,KJ/HR-M-DC
TRANSTHERMAL * HFELC,Yes,0,Value of HFE for cooling in laminar flow region,2,1,1,0,0,NONE,
TRANSTHERMAL * HFELH,Yes,0,Value of HFE for heating in laminar flow region,2,1,1,0,0,NONE,
TRANSTHERMAL * HFETC,Yes,0,Value of HFE for cooling in turbulent flow region,2,1,1,0,0,NONE,
TRANSTHERMAL * HFETH,Yes,0,Value of HFE for heating in turbulent flow region,2,1,1,0,0,NONE,
TRANSTHERMAL * HG,Yes,0.33,Exponent in laminar term,2,1,1,0,0,NONE,
TRANSTHERMAL * MFC,Yes,0,Minimum film coeff,2,13617.5,13617.5,0,0,HEAT.TRANSFER,KJ/HR-M2-DC
TRANSTHERMAL * RE1,Yes,2100,Reynolds number separating laminar-dominated (Grashof) from transition region for heat transfer,2,1e+20,1e+20,0,0,NONE,
TRANSTHERMAL * RE2,Yes,10000,Reynolds number separating transition region from turbulent (Colburn) region heat transfer,2,1e+20,1e+20,0,0,NONE,
TRANSTHERMAL * SPH,Yes,1,Ratio of heat capacity of fluid to heat capacity of water,2,1,1,0,0,NONE,
TRANSTHERMAL * TEMP,Yes,21.1111,Temperature,2,65.5556,121.111,-17.7778,-45.5556,TEMPERATURE,DC
V * CVC,Yes,0,Valve coef when fully closed,2,800,1000,0,0,VALVE.COEFF,GAL/MIN-PSI.5
V * CVO,No,0,Valve coef when fully open,2,875010,8.7501e+06,875.01,0,VALVE.COEFF,GAL/MIN-PSI.5
V * DP,Yes,0,Valve pressure drop when fully open,2,34.4737,137.895,0.689473,0,DELTA.PRES,KPA
V * DRAD,Yes,100,DRA degradation,2,100,100,0,0,DEGRADATION,PERCENT
V * Q,Yes,0,Valve flow when fully open,2,7949.36,13248.9,79.4936,0,FLOW,M3/HR
V G887 A1,Yes,0,Flow factor used to calculate the valve coeff,2,102084,1.02084e+06,0,0,VALVE.COEFF,GAL/MIN-PSI.5
V G887 A2,Yes,0,Flow factor or constant used to calculate the valve coeff.,2,102084,1.02084e+06,0,0,VALVE.COEFF,GAL/MIN-PSI.5
V G887 B,Yes,0.6,Exponent in the flow equation,2,1,1.1,0.51,0.51,NONE,
V G887 C1,Yes,0,Flow Coeff. for valve from -CNC to +CNC,2,102084,1.02084e+06,0,0,VALVE.COEFF,GAL/MIN-PSI.5
V G887 C2,Yes,17.5002,Flow coeff. for valve flow from +CNC to -CNC,2,102084,1.02084e+06,0,0,VALVE.COEFF,GAL/MIN-PSI.5
V G887 DRA_DEG,Yes,100,DRA Degradation,2,100,100,0,0,DEGRADATION,PERCENT
V G887 ET,Yes,0.2,A linearization parameter,2,0.3,0.4,0.1,0,NONE,
V G887 PS0,Yes,689.473,Lowest value of sleeve pressure,2,40000,50000,6.89473,0,PRESSURE,KPAG
V G887 PS1,Yes,6894.73,Highest value of sleeve pressure,2,40000,50000,6.89473,0,PRESSURE,KPAG
V G887 PV,Yes,6.89473,Vapor pressure,2,10342.1,13789.5,6.89473,0,ABSOLUTE.PRESSURE,KPAA
V G887 R,Yes,1,Critical ratio for cavitation,2,1.2,1.5,0.8,0.5,NONE,
VISCOSITY TABLE SHEAR.RATE,No,0,Shear rate (table entry),2,200,500,0.5,0.1,SHEAR.RATE,1/SEC
VISCOSITY TABLE TEMPERATURE,No,-17.7778,Temperature (table entry),2,48.8889,82.2222,3.19744e-14,-17.7778,TEMPERATURE,DC
VISCOSITY TABLE VISCOSITY,No,0,Viscosity (table entry),2,200,500,1,0.5,VISCOSITY,CP
WAX * DELTA.TEMP,Yes,0.555556,Delta temperature,2,2.77778,5.55556,-2.77778,-5.55556,DELTA.TEMP,DC
WAX * DENS,Yes,897.034,Wax density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
WAX * DEPOSITION,Yes,0.1075,Wax deposition tendency,2,0.215,4.3,0,0,DEPOSITION,KG/KJ
WAX * HCON,Yes,0.685333,Wax heat conductivity,2,12.4606,24.9212,0.062303,0,HEAT.COND,KJ/HR-M-DC
WAX * MXR,Yes,2.54,Maximum pipe roughness with wax,2,25.4,25.4,0,0,ROUGHNESS,MM
WAX * MXT,Yes,6.35,Maximum wax thickness,2,25.4,127,0,0,ROUGHNESS,MM
WAX * REYNOLDS,Yes,2,Reynolds number,2,50000,100000,2000,1000,NONE,
WAX * VELOCITY,Yes,0.6096,Fluid velocity,2,3.048,6.096,0.6096,0.3048,VELOCITY,M/S
WAX * WALL.TEMP,Yes,15.5556,Wall temperature,2,37.7778,48.8889,4.44444,-6.66667,TEMPERATURE,DC
